kind,id,payload
employee,E0011,"{""employee_id"":""E0011"",""full_name"":""Anna Lebedeva"",""department"":""Data \u0026 Analytics"",""role"":""Data Analyst"",""grade"":""Senior"",""manager_id"":""E0085"",""hire_date"":""2021-01-11"",""tenure_months"":68,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":null,""skills"":{""SK_AB_TESTING"":3,""SK_ADAPTABILITY"":1,""SK_BI_TOOLS"":2,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":4,""SK_DATA_MODELING"":3,""SK_DATA_VIZ"":3,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":0,""SK_LOAD_TESTING"":1,""SK_MENTORING"":1,""SK_ML_BASICS"":2,""SK_PROBLEM_SOLVING"":3,""SK_PRODUCT_ANALYTICS"":2,""SK_PUBLIC_SPEAKING"":2,""SK_PYTHON"":4,""SK_SQL"":2,""SK_STAKEHOLDER_MGMT"":4,""SK_STATISTICS"":4,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":1,""SK_WRITTEN_COMMUNICATION"":2},""last_review_date"":""2026-07-07""}"
employee,E0012,"{""employee_id"":""E0012"",""full_name"":""Yerzhan Tulegenov"",""department"":""Sales"",""role"":""Sales Manager"",""grade"":""Middle"",""manager_id"":""E0148"",""hire_date"":""2022-01-19"",""tenure_months"":56,""work_format"":""hybrid"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Sales Manager"",""target_grade"":""Senior""},""skills"":{""SK_ACCOUNT_MGMT"":2,""SK_ADAPTABILITY"":3,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":1,""SK_CRM"":3,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":1,""SK_JAVA"":1,""SK_LEADERSHIP"":0,""SK_MENTORING"":2,""SK_NEGOTIATION"":3,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_KNOWLEDGE"":4,""SK_PROSPECTING"":4,""SK_PUBLIC_SPEAKING"":1,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":3,""SK_WRITTEN_COMMUNICATION"":2},""last_review_date"":""2026-06-29""}"
employee,E0013,"{""employee_id"":""E0013"",""full_name"":""Rustem Ismailov"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Senior"",""manager_id"":""E0175"",""hire_date"":""2020-12-28"",""tenure_months"":69,""work_format"":""office"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Data Analyst"",""target_grade"":""Senior""},""skills"":{""SK_ADAPTABILITY"":1,""SK_API_DESIGN"":4,""SK_APP_SECURITY"":4,""SK_CICD"":4,""SK_CLOUD"":2,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":1,""SK_CONTAINERS"":1,""SK_CRITICAL_THINKING"":1,""SK_EMOTIONAL_INTELLIGENCE"":1,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":2,""SK_OBSERVABILITY"":2,""SK_PROBLEM_SOLVING"":4,""SK_PROJECT_MGMT"":2,""SK_PUBLIC_SPEAKING"":1,""SK_PYTHON"":3,""SK_SQL"":5,""SK_STAKEHOLDER_MGMT"":0,""SK_SYSTEM_DESIGN"":3,""SK_TEAMWORK"":3,""SK_TEST_AUTOMATION"":1,""SK_TIME_MANAGEMENT"":3,""SK_WRITTEN_COMMUNICATION"":1},""last_review_date"":""2026-02-19""}"
employee,E0014,"{""employee_id"":""E0014"",""full_name"":""Yulia Kuznetsova"",""department"":""Human Resources"",""role"":""HR Business Partner"",""grade"":""Lead"",""manager_id"":""E0133"",""hire_date"":""2019-10-02"",""tenure_months"":83,""work_format"":""office"",""preferred_language"":""en"",""career_goal"":{""target_role"":""Product Manager"",""target_grade"":""Lead""},""skills"":{""SK_ADAPTABILITY"":3,""SK_COMMUNICATION"":5,""SK_COMPENSATION"":5,""SK_CONFLICT_RESOLUTION"":4,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":5,""SK_EMPLOYEE_RELATIONS"":4,""SK_FEEDBACK"":5,""SK_HR_ANALYTICS"":4,""SK_LABOR_LAW"":4,""SK_LEADERSHIP"":5,""SK_LEARNING_DESIGN"":3,""SK_MENTORING"":2,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":5,""SK_STAKEHOLDER_MGMT"":3,""SK_TALENT_ACQUISITION"":3,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":2,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-06-02""}"
employee,E0015,"{""employee_id"":""E0015"",""full_name"":""Zhanna Akhmetova"",""department"":""Frontend Development"",""role"":""Frontend Engineer"",""grade"":""Middle"",""manager_id"":""E0044"",""hire_date"":""2024-03-20"",""tenure_months"":30,""work_format"":""office"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Frontend Engineer"",""target_grade"":""Senior""},""skills"":{""SK_ACCESSIBILITY"":2,""SK_ADAPTABILITY"":3,""SK_API_DESIGN"":1,""SK_API_TESTING"":1,""SK_CICD"":1,""SK_CLOUD"":1,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":2,""SK_HTML_CSS"":2,""SK_JAVASCRIPT"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":0,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":2,""SK_REACT"":2,""SK_STAKEHOLDER_MGMT"":0,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":2,""SK_TYPESCRIPT"":2,""SK_WEB_PERFORMANCE"":2,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-06-24""}"
employee,E0016,"{""employee_id"":""E0016"",""full_name"":""Assel Omarova"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Junior"",""manager_id"":""E0050"",""hire_date"":""2025-12-23"",""tenure_months"":9,""work_format"":""office"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Middle""},""skills"":{""SK_ADAPTABILITY"":3,""SK_API_DESIGN"":1,""SK_APP_SECURITY"":0,""SK_CICD"":1,""SK_CLOUD"":1,""SK_COMMUNICATION"":1,""SK_CONFLICT_RESOLUTION"":3,""SK_CONTAINERS"":2,""SK_CRITICAL_THINKING"":1,""SK_EMOTIONAL_INTELLIGENCE"":1,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":2,""SK_MENTORING"":1,""SK_OBSERVABILITY"":2,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":2,""SK_PYTHON"":1,""SK_SQL"":3,""SK_STAKEHOLDER_MGMT"":1,""SK_SYSTEM_DESIGN"":0,""SK_TEAMWORK"":0,""SK_TIME_MANAGEMENT"":2,""SK_WRITTEN_COMMUNICATION"":2},""last_review_date"":""2026-02-25""}"
employee,E0017,"{""employee_id"":""E0017"",""full_name"":""Kamila Bekova"",""department"":""Product Management"",""role"":""Product Manager"",""grade"":""Senior"",""manager_id"":""E0055"",""hire_date"":""2019-02-26"",""tenure_months"":91,""work_format"":""office"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Product Manager"",""target_grade"":""Lead""},""skills"":{""SK_AB_TESTING"":1,""SK_ADAPTABILITY"":3,""SK_AGILE"":2,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":3,""SK_EMOTIONAL_INTELLIGENCE"":1,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":1,""SK_MENTORING"":1,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_ANALYTICS"":4,""SK_PRODUCT_DISCOVERY"":5,""SK_PROJECT_MGMT"":3,""SK_PUBLIC_SPEAKING"":1,""SK_REQUIREMENTS"":4,""SK_ROADMAPPING"":3,""SK_SQL"":2,""SK_STAKEHOLDER_MGMT"":3,""SK_TEAMWORK"":2,""SK_TEST_AUTOMATION"":1,""SK_TIME_MANAGEMENT"":2,""SK_TROUBLESHOOTING"":1,""SK_UX_RESEARCH"":2,""SK_WRITTEN_COMMUNICATION"":1},""last_review_date"":""2026-06-22""}"
employee,E0018,"{""employee_id"":""E0018"",""full_name"":""Yerzhan Seitkali"",""department"":""Customer Support"",""role"":""Customer Support Specialist"",""grade"":""Junior"",""manager_id"":""E0035"",""hire_date"":""2024-03-26"",""tenure_months"":30,""work_format"":""remote"",""preferred_language"":""en"",""career_goal"":{""target_role"":""Customer Support Specialist"",""target_grade"":""Middle""},""skills"":{""SK_AB_TESTING"":2,""SK_ADAPTABILITY"":1,""SK_APP_SECURITY"":2,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":1,""SK_CRITICAL_THINKING"":3,""SK_CRM"":0,""SK_CUSTOMER_SERVICE"":1,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":1,""SK_MENTORING"":0,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_KNOWLEDGE"":2,""SK_PUBLIC_SPEAKING"":3,""SK_STAKEHOLDER_MGMT"":3,""SK_TEAMWORK"":1,""SK_TIME_MANAGEMENT"":2,""SK_TROUBLESHOOTING"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-09-15""}"
employee,E0019,"{""employee_id"":""E0019"",""full_name"":""Anna Pavlova"",""department"":""Frontend Development"",""role"":""Frontend Engineer"",""grade"":""Junior"",""manager_id"":""E0044"",""hire_date"":""2025-03-31"",""tenure_months"":18,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Frontend Engineer"",""target_grade"":""Middle""},""skills"":{""SK_ACCESSIBILITY"":2,""SK_ADAPTABILITY"":1,""SK_API_DESIGN"":0,""SK_CICD"":1,""SK_COMMUNICATION"":1,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":3,""SK_HTML_CSS"":1,""SK_JAVASCRIPT"":1,""SK_LEADERSHIP"":2,""SK_MENTORING"":0,""SK_NEGOTIATION"":2,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":0,""SK_REACT"":1,""SK_STAKEHOLDER_MGMT"":1,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":1,""SK_TYPESCRIPT"":1,""SK_WEB_PERFORMANCE"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-03-26""}"
employee,E0020,"{""employee_id"":""E0020"",""full_name"":""Rustem Mukanov"",""department"":""Product Management"",""role"":""Product Manager"",""grade"":""Junior"",""manager_id"":""E0055"",""hire_date"":""2024-05-22"",""tenure_months"":28,""work_format"":""remote"",""preferred_language"":""ru"",""career_goal"":{""target_role"":""Data Analyst"",""target_grade"":""Junior""},""skills"":{""SK_AB_TESTING"":1,""SK_ADAPTABILITY"":2,""SK_AGILE"":2,""SK_COMMUNICATION"":4,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":2,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":2,""SK_MENTORING"":1,""SK_PROBLEM_SOLVING"":2,""SK_PRODUCT_ANALYTICS"":2,""SK_PRODUCT_DISCOVERY"":0,""SK_PROJECT_MGMT"":0,""SK_PUBLIC_SPEAKING"":2,""SK_REQUIREMENTS"":3,""SK_ROADMAPPING"":0,""SK_SQL"":1,""SK_STAKEHOLDER_MGMT"":2,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":3,""SK_UX_RESEARCH"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-01-16""}"
employee,E0021,"{""employee_id"":""E0021"",""full_name"":""Botagoz Zhumabekova"",""department"":""Customer Support"",""role"":""Customer Support Specialist"",""grade"":""Middle"",""manager_id"":""E0180"",""hire_date"":""2024-09-12"",""tenure_months"":24,""work_format"":""remote"",""preferred_language"":""ru"",""career_goal"":null,""skills"":{""SK_ADAPTABILITY"":2,""SK_COMMUNICATION"":3,""SK_CONFLICT_RESOLUTION"":2,""SK_CRITICAL_THINKING"":2,""SK_CRM"":2,""SK_CUSTOMER_SERVICE"":3,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":0,""SK_MENTORING"":1,""SK_PROBLEM_SOLVING"":1,""SK_PRODUCT_KNOWLEDGE"":3,""SK_PUBLIC_SPEAKING"":3,""SK_STAKEHOLDER_MGMT"":3,""SK_TEAMWORK"":3,""SK_TIME_MANAGEMENT"":4,""SK_TROUBLESHOOTING"":2,""SK_WRITTEN_COMMUNICATION"":4},""last_review_date"":""2026-06-02""}"
employee,E0022,"{""employee_id"":""E0022"",""full_name"":""Ksenia Morozova"",""department"":""Data \u0026 Analytics"",""role"":""Data Analyst"",""grade"":""Junior"",""manager_id"":""E0061"",""hire_date"":""2025-12-23"",""tenure_months"":9,""work_format"":""hybrid"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Data Analyst"",""target_grade"":""Middle""},""skills"":{""SK_AB_TESTING"":2,""SK_ACCOUNT_MGMT"":2,""SK_ADAPTABILITY"":1,""SK_BI_TOOLS"":3,""SK_COMMUNICATION"":2,""SK_CONFLICT_RESOLUTION"":3,""SK_CRITICAL_THINKING"":2,""SK_DATA_MODELING"":1,""SK_DATA_VIZ"":2,""SK_EMOTIONAL_INTELLIGENCE"":3,""SK_FEEDBACK"":2,""SK_LEADERSHIP"":1,""SK_MENTORING"":0,""SK_ML_BASICS"":2,""SK_PROBLEM_SOLVING"":2,""SK_PRODUCT_ANALYTICS"":1,""SK_PUBLIC_SPEAKING"":1,""SK_PYTHON"":0,""SK_SQL"":3,""SK_STAKEHOLDER_MGMT"":1,""SK_STATISTICS"":0,""SK_TALENT_ACQUISITION"":2,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":1,""SK_WRITTEN_COMMUNICATION"":3},""last_review_date"":""2026-05-12""}"
employee,E0023,"{""employee_id"":""E0023"",""full_name"":""Zhanna Baimukhanova"",""department"":""Backend Development"",""role"":""Backend Engineer"",""grade"":""Junior"",""manager_id"":""E0050"",""hire_date"":""2024-11-18"",""tenure_months"":22,""work_format"":""office"",""preferred_language"":""kk"",""career_goal"":{""target_role"":""Backend Engineer"",""target_grade"":""Middle""},""skills"":{""SK_ADAPTABILITY"":3,""SK_API_DESIGN"":0,""SK_APP_SECURITY"":2,""SK_CICD"":1,""SK_CLOUD"":0,""SK_COMMUNICATION"":2,""SK_COMPENSATION"":2,""SK_CONFLICT_RESOLUTION"":3,""SK_CONTAINERS"":2,""SK_CRITICAL_THINKING"":2,""SK_EMOTIONAL_INTELLIGENCE"":1,""SK_FEEDBACK"":1,""SK_LEADERSHIP"":1,""SK_MENTORING"":0,""SK_OBSERVABILITY"":1,""SK_PROBLEM_SOLVING"":2,""SK_PUBLIC_SPEAKING"":1,""SK_PYTHON"":1,""SK_SQL"":1,""SK_STAKEHOLDER_MGMT"":1,""SK_SYSTEM_DESIGN"":0,""SK_TEAMWORK"":2,""SK_TIME_MANAGEMENT"":3,""SK_WRITTEN_COMMUNICATION"":1},""last_review_date"":""2026-04-20""}"
